August 2023 Colorado County Maximum Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,,,,,,
Period of Record: 129 Years,,,,,,
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CO-001,Adams County,Colorado,87.9,1.7,88,86.2
CO-003,Alamosa County,Colorado,82.9,5.3,128,77.6
CO-005,Arapahoe County,Colorado,87.2,2,98,85.2
CO-007,Archuleta County,Colorado,79.8,2.8,116,77
CO-009,Baca County,Colorado,91,1.8,94,89.2
CO-011,Bent County,Colorado,91.3,1.5,79,89.8
CO-013,Boulder County,Colorado,77.8,0.1,60,77.7
CO-014,Broomfield County,Colorado,86.9,1.1,80,85.8
CO-015,Chaffee County,Colorado,73.1,3.7,122,69.4
CO-017,Cheyenne County,Colorado,89.1,2,91,87.1
CO-019,Clear Creek County,Colorado,68.6,1.4,93,67.2
CO-021,Conejos County,Colorado,76.3,4.4,126,71.9
CO-023,Costilla County,Colorado,78.7,4.7,126,74
CO-025,Crowley County,Colorado,91.2,2.9,106,88.3
CO-027,Custer County,Colorado,76,3,114,73
CO-029,Delta County,Colorado,83.9,4.3,124,79.6
CO-031,Denver County,Colorado,87.2,1.3,80,85.9
CO-033,Dolores County,Colorado,77.9,3.2,117,74.7
CO-035,Douglas County,Colorado,81.2,1.1,80,80.1
CO-037,Eagle County,Colorado,74.8,2.6,114,72.2
CO-039,Elbert County,Colorado,86.2,3.2,112,83
CO-041,El Paso County,Colorado,84.5,3.7,119,80.8
CO-043,Fremont County,Colorado,80.9,2.6,110,78.3
CO-045,Garfield County,Colorado,78.4,2.8,112,75.6
CO-047,Gilpin County,Colorado,70.3,0.3,67,70
CO-049,Grand County,Colorado,72.4,1.7,97,70.7
CO-051,Gunnison County,Colorado,74.4,4,127,70.4
CO-053,Hinsdale County,Colorado,68.8,4.6,128,64.2
CO-055,Huerfano County,Colorado,83,4,122,79
CO-057,Jackson County,Colorado,73.3,2.3,104,71
CO-059,Jefferson County,Colorado,79.5,0.6,73,78.9
CO-061,Kiowa County,Colorado,90.5,1.9,89,88.6
CO-063,Kit Carson County,Colorado,88.8,2.5,100,86.3
CO-065,Lake County,Colorado,68.6,3.6,125,65
CO-067,La Plata County,Colorado,80.6,3.9,124,76.7
CO-069,Larimer County,Colorado,76.4,1.2,82,75.2
CO-071,Las Animas County,Colorado,87.4,2.7,109,84.7
CO-073,Lincoln County,Colorado,89.1,3.1,110,86
CO-075,Logan County,Colorado,88.4,1.6,86,86.8
CO-077,Mesa County,Colorado,84.2,3.8,119,80.4
CO-079,Mineral County,Colorado,70.2,3.8,128,66.4
CO-081,Moffat County,Colorado,82.6,2.3,105,80.3
CO-083,Montezuma County,Colorado,85,2.8,116,82.2
CO-085,Montrose County,Colorado,84.5,3.5,119,81
CO-087,Morgan County,Colorado,88.4,2,90,86.4
CO-089,Otero County,Colorado,90.8,1.6,85,89.2
CO-091,Ouray County,Colorado,78.1,5.6,127,72.5
CO-093,Park County,Colorado,72.6,2.5,115,70.1
CO-095,Phillips County,Colorado,89.3,2.1,95,87.2
CO-097,Pitkin County,Colorado,72.2,3.9,124,68.3
CO-099,Prowers County,Colorado,91.7,1.9,88,89.8
CO-101,Pueblo County,Colorado,89.7,3,116,86.7
CO-103,Rio Blanco County,Colorado,81,2.3,105,78.7
CO-105,Rio Grande County,Colorado,76.4,4.7,127,71.7
CO-107,Routt County,Colorado,76.2,2.6,105,73.6
CO-109,Saguache County,Colorado,76.5,4.5,128,72
CO-111,San Juan County,Colorado,66,4.9,127,61.1
CO-113,San Miguel County,Colorado,80.5,3.4,119,77.1
CO-115,Sedgwick County,Colorado,87.9,0.9,77,87
CO-117,Summit County,Colorado,69,2.2,111,66.8
CO-119,Teller County,Colorado,74.5,2.5,111,72
CO-121,Washington County,Colorado,88,1.4,78,86.6
CO-123,Weld County,Colorado,86.4,0.7,69,85.7
CO-125,Yuma County,Colorado,89.6,2.3,98,87.3
