July 2023 Colorado County Maximum Temperature,,,,,,
Units: Degrees Fahrenheit,,,,,,
Missing: -99,,,,,,
Period of Record: 130 Years,,,,,,
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
CO-001,Adams County,Colorado,87.7,-0.7,49,88.4
CO-003,Alamosa County,Colorado,87.4,7.3,130,80.1
CO-005,Arapahoe County,Colorado,86.9,-0.4,54,87.3
CO-007,Archuleta County,Colorado,85.6,6.3,129,79.3
CO-009,Baca County,Colorado,90.4,-1,46,91.4
CO-011,Bent County,Colorado,91.3,-0.7,49,92
CO-013,Boulder County,Colorado,80.2,0.7,76,79.5
CO-014,Broomfield County,Colorado,88.1,0.4,74,87.7
CO-015,Chaffee County,Colorado,78,6.3,129,71.7
CO-017,Cheyenne County,Colorado,88.7,-0.4,50,89.1
CO-019,Clear Creek County,Colorado,72,2.9,116,69.1
CO-021,Conejos County,Colorado,81.2,7,129,74.2
CO-023,Costilla County,Colorado,84.3,8,130,76.3
CO-025,Crowley County,Colorado,92.4,1.7,89,90.7
CO-027,Custer County,Colorado,80.2,4.9,128,75.3
CO-029,Delta County,Colorado,88.8,6.5,128,82.3
CO-031,Denver County,Colorado,87.2,-0.7,47,87.9
CO-033,Dolores County,Colorado,83.6,6.6,129,77
CO-035,Douglas County,Colorado,82.6,0.5,71,82.1
CO-037,Eagle County,Colorado,78.3,4.1,122,74.2
CO-039,Elbert County,Colorado,86.4,1.2,84,85.2
CO-041,El Paso County,Colorado,85.8,2.7,102,83.1
CO-043,Fremont County,Colorado,84.9,4.3,126,80.6
CO-045,Garfield County,Colorado,82.6,4.5,124,78.1
CO-047,Gilpin County,Colorado,73.7,1.9,105,71.8
CO-049,Grand County,Colorado,75.1,2.6,114,72.5
CO-051,Gunnison County,Colorado,78.6,5.8,127,72.8
CO-053,Hinsdale County,Colorado,74.3,7.9,129,66.4
CO-055,Huerfano County,Colorado,87.3,5.9,129,81.4
CO-057,Jackson County,Colorado,74.7,1.7,91,73
CO-059,Jefferson County,Colorado,81.4,0.6,75,80.8
CO-061,Kiowa County,Colorado,89.6,-1.1,39,90.7
CO-063,Kit Carson County,Colorado,87.9,-0.4,52,88.3
CO-065,Lake County,Colorado,72.8,5.4,126,67.4
CO-067,La Plata County,Colorado,87.1,8.1,130,79
CO-069,Larimer County,Colorado,78.2,1.2,79,77
CO-071,Las Animas County,Colorado,89.9,3.1,116,86.8
CO-073,Lincoln County,Colorado,88.6,0.6,70,88
CO-075,Logan County,Colorado,86.9,-2,32,88.9
CO-077,Mesa County,Colorado,89.6,6.4,129,83.2
CO-079,Mineral County,Colorado,75.2,6.6,129,68.6
CO-081,Moffat County,Colorado,86.1,3.6,117,82.5
CO-083,Montezuma County,Colorado,91.1,6.3,129,84.8
CO-085,Montrose County,Colorado,90.2,6.5,129,83.7
CO-087,Morgan County,Colorado,87.6,-0.9,47,88.5
CO-089,Otero County,Colorado,92,0.6,70,91.4
CO-091,Ouray County,Colorado,83.4,8.6,129,74.8
CO-093,Park County,Colorado,76.5,4.2,126,72.3
CO-095,Phillips County,Colorado,87.3,-2.1,32,89.4
CO-097,Pitkin County,Colorado,75.7,5,126,70.7
CO-099,Prowers County,Colorado,90,-2,30,92
CO-101,Pueblo County,Colorado,92.3,3,114,89.3
CO-103,Rio Blanco County,Colorado,85,3.9,122,81.1
CO-105,Rio Grande County,Colorado,81.4,7.4,130,74
CO-107,Routt County,Colorado,78.4,2.8,111,75.6
CO-109,Saguache County,Colorado,81.3,7,130,74.3
CO-111,San Juan County,Colorado,71.6,8.6,130,63
CO-113,San Miguel County,Colorado,86.3,6.8,129,79.5
CO-115,Sedgwick County,Colorado,86.2,-3,24,89.2
CO-117,Summit County,Colorado,72.6,3.9,123,68.7
CO-119,Teller County,Colorado,77.4,3.4,117,74
CO-121,Washington County,Colorado,86.3,-2.2,31,88.5
CO-123,Weld County,Colorado,86.2,-1.6,32,87.8
CO-125,Yuma County,Colorado,87.8,-1.5,40,89.3
