# Title: August 2023 North Dakota County Maximum Temperature,,,,,,
# Units: Degrees Fahrenheit,,,,,,
# Missing: -99,,,,,,
# Note: Period of Record: 130 Years,,,,,,
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
ND-001,Adams County,North Dakota,82.6,-0.3,62,82.9
ND-003,Barnes County,North Dakota,79.2,-1.6,48,80.8
ND-005,Benson County,North Dakota,78.7,-1,58,79.7
ND-007,Billings County,North Dakota,82.7,0.2,65,82.5
ND-009,Bottineau County,North Dakota,79.6,0.2,68,79.4
ND-011,Bowman County,North Dakota,83.6,0.5,69,83.1
ND-013,Burke County,North Dakota,78.9,0.2,63,78.7
ND-015,Burleigh County,North Dakota,78.4,-2.8,37,81.2
ND-017,Cass County,North Dakota,81.2,-0.3,70,81.5
ND-019,Cavalier County,North Dakota,77.6,0.2,63,77.4
ND-021,Dickey County,North Dakota,79,-2.6,36,81.6
ND-023,Divide County,North Dakota,81.7,2.3,93,79.4
ND-025,Dunn County,North Dakota,82.3,0.5,64,81.8
ND-027,Eddy County,North Dakota,77.9,-2.3,44,80.2
ND-029,Emmons County,North Dakota,79.4,-3.4,30,82.8
ND-031,Foster County,North Dakota,77.8,-2.7,34,80.5
ND-033,Golden Valley County,North Dakota,83,0,67,83
ND-035,Grand Forks County,North Dakota,79.1,-1.4,53,80.5
ND-037,Grant County,North Dakota,81.6,-1.4,49,83
ND-039,Griggs County,North Dakota,77.5,-2.9,33,80.4
ND-041,Hettinger County,North Dakota,81.6,-0.8,51,82.4
ND-043,Kidder County,North Dakota,77.8,-2.8,38,80.6
ND-045,LaMoure County,North Dakota,79,-2.3,39,81.3
ND-047,Logan County,North Dakota,78.4,-2.9,33,81.3
ND-049,McHenry County,North Dakota,80.8,0.2,72,80.6
ND-051,McIntosh County,North Dakota,78.1,-3.4,28,81.5
ND-053,McKenzie County,North Dakota,83,0.9,69,82.1
ND-055,McLean County,North Dakota,80.5,-0.3,60,80.8
ND-057,Mercer County,North Dakota,81.4,-0.5,58,81.9
ND-059,Morton County,North Dakota,80.3,-2,42,82.3
ND-061,Mountrail County,North Dakota,80.5,0.6,66,79.9
ND-063,Nelson County,North Dakota,77.5,-1.9,47,79.4
ND-065,Oliver County,North Dakota,80.1,-1.5,49,81.6
ND-067,Pembina County,North Dakota,78.9,0.2,65,78.7
ND-069,Pierce County,North Dakota,79.8,0.2,68,79.6
ND-071,Ramsey County,North Dakota,78,-1.5,53,79.5
ND-073,Ransom County,North Dakota,80.7,-0.8,59,81.5
ND-075,Renville County,North Dakota,79.7,-0.2,61,79.9
ND-077,Richland County,North Dakota,81.6,0.1,72,81.5
ND-079,Rolette County,North Dakota,78.1,0.8,74,77.3
ND-081,Sargent County,North Dakota,80.6,-1.1,57,81.7
ND-083,Sheridan County,North Dakota,78.2,-1.9,43,80.1
ND-085,Sioux County,North Dakota,81.3,-2.1,40,83.4
ND-087,Slope County,North Dakota,82.8,-0.3,58,83.1
ND-089,Stark County,North Dakota,81.4,-0.8,54,82.2
ND-091,Steele County,North Dakota,77.1,-3.7,24,80.8
ND-093,Stutsman County,North Dakota,78.2,-2.4,39,80.6
ND-095,Towner County,North Dakota,78.8,0.7,76,78.1
ND-097,Traill County,North Dakota,78.5,-2.9,31,81.4
ND-099,Walsh County,North Dakota,78.6,-0.4,62,79
ND-101,Ward County,North Dakota,80,-0.2,61,80.2
ND-103,Wells County,North Dakota,77.5,-2.8,37,80.3
ND-105,Williams County,North Dakota,82.3,1.6,85,80.7
