column,correlation
population_(2020),0.3804974603662551
building_value_($),0.37423752514383757
expected_annual_loss_-_score_-_composite,0.35000354549957197
national_risk_index_-_score_-_composite,0.3452560323269342
expected_annual_loss_-_total_-_composite,0.3040828121187117
expected_annual_loss_-_building_value_-_composite,0.3023475166863582
national_risk_index_-_value_-_composite,0.30188198267400346
expected_annual_loss_-_state_percentile_-_composite,0.2970180947217783
national_risk_index_-_state_percentile_-_composite,0.29289074431147416
wildfire_-_exposure_-_population,0.28297168796728744
wildfire_-_exposure_-_population_equivalence,0.2828958545737028
wildfire_-_exposure_-_total,0.28263519148440297
agriculture_value_($),0.2601413175575963
wildfire_-_exposure_-_building_value,0.25579942427510305
wildfire_-_exposure_-_agriculture_value,0.2510219738874973
wildfire_-_expected_annual_loss_score,0.13812537095003005
wildfire_-_hazard_type_risk_index_score,0.12167776384807184
wildfire_-_expected_annual_loss_-_building_value,0.12123624747406272
wildfire_-_exposure_-_impacted_area_(sq_mi),0.11960465166195511
wildfire_-_expected_annual_loss_-_total,0.11774923356119495
wildfire_-_hazard_type_risk_index_value,0.09018304744279666
wildfire_-_expected_annual_loss_-_agriculture_value,0.07934855556562531
wildfire_-_annualized_frequency,0.06207741327333744
mean_temperature,0.033403734961617
area_(sq_mi),0.02144348865101289
maximum_temperature,0.013953412368943673
wildfire_-_expected_annual_loss_-_population,-0.011910250203886003
wildfire_-_expected_annual_loss_-_population_equivalence,-0.011910255242163315
wildfire_-_expected_annual_loss_rate_-_population,-0.05453585798356125
wildfire_-_historic_loss_ratio_-_agriculture,-0.05997216871476271
wildfire_-_expected_annual_loss_rate_-_building,-0.08811216178002369
wildfire_-_expected_annual_loss_rate_-_agriculture,-0.09101427741921542
wildfire_-_expected_annual_loss_rate_-_national_percentile,-0.12402758521216649
wildfire_-_historic_loss_ratio_-_population,-0.17258420726688584
wildfire_-_historic_loss_ratio_-_buildings,NA
